Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;Price
13288;161;1;50.808925012405;15.9203433463959;20;8;9;1910;0.0144231139999999;B;B;19;3806;4;;0;3;B;287954.720682478
2085;161;1;63.2930785962245;29.3898153181791;18;3;9;1912;0.0144231139999999;B;B;19;3806;4;;0;3;B;262279.813914504
14556;183;4;151.150659769089;98.1874815899617;23;6;7;1912;0.037316452;B;B;32;6748;93;562;4;10;B;284884.959103786
6751;172;2;56.1723642281226;28.3842131218462;7;8;6;1914;0,000000000;B;B;7;1660;39;1786;1;5;B;423580.477981642
7920;183;3;102.964468136968;48.3221071541584;14;4;6;1916;0.037316452;B;B;32;6748;93;562;4;10;B;284608.93926116
13872;189;2;54.7513665210047;31.5150823760626;10;2;4;1917;0.0000781528;B;B;22;6398;141;1046;3;23;B;69623.7531907576
10439;104;1;35.5077377253411;20.3127248979342;4;6;5;1917;0.0000781528;B;B;22;6398;141;1046;3;23;B;236830.764636635
15193;195;3;75.5647086312659;44.8726163819981;9;5;7;1917;0.0150168919999999;B;B;17;3079;59;2890;0;8;B;486057.12988799
14543;120;4;96.7309852493949;53.589222545181;17;4;5;1918;0.000699118999999999;B;B;14;3369;24;4129;0;3;B;376419.535841873
12229;180;2;76.0833115022954;48.0262463081254;14;6;5;1918;0.037316452;B;B;32;6748;93;562;4;10;B;431701.914829144
15375;182;2;67.8388611968997;65.2000247057934;9;7;8;1918;0.0150168919999999;B;B;17;3079;59;2890;0;8;B;443270.817520251
10919;190;2;47.4894147815768;35.5644792084422;4;5;5;1918;0,000000000;B;B;30;7538;87;4702;5;5;B;537979.657508977
12381;182;3;65.4752600935997;44.1846741187984;7;3;4;1918;0.246623602;B;B;14;2940;45;;3;6;B;540638.323555083
12329;51;2;52.6651300356282;30.0990079373755;8;4;4;1919;0.0150168919999999;B;B;17;3079;59;2890;0;8;B;90314.5323433432
462;43;1;44.0821826949749;27.7176896239588;7;4;5;1919;0.212515361;B;B;19;3293;16;628;3;7;B;321506.277104
5078;82;3;70.0234863241177;51.2360754140388;7;6;5;1919;0.037316452;B;B;32;6748;93;562;4;10;B;524781.018392285
15391;184;3;64.0488401018074;42.8444855145941;6;4;5;1928;0.246623602;B;B;14;2940;45;;3;6;B;324303.812481059
9642;73;3;68.4164279273847;47.7672157580386;7;6;6;1929;0.042031587;B;B;37;6856;84;1940;2;5;B;197419.043624936
4212;135;3;63.9227004702982;41.7385884597419;7;3;8;1929;0.007658515;B;B;35;7077;56;2301;3;19;B;380359.112958807
15902;97;1;40.3986165992597;19.5014623486385;9;6;5;1930;0.306977489;B;B;27;5148;14;1575;5;7;B;197433.228221313
