Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
15877,57,3,16.54724199,16.69857065,8,5,5,1962,0.133215333,B,B,49,11395,3,1406,3,4,A,77835.185807852
2457,138,1,34.14818672,24.11036682,5,9,9,1962,0.014423114,B,B,19,3806,4,,0,3,B,86647.803370714
15901,100,3,58.74587916,40.86422647,6,4,5,1962,0.200146802,B,B,23,3975,8,770,2,0,B,86706.413502065
7025,81,2,58.97918779,34.57684423,7,3,5,1962,0.319809354,B,B,25,4756,16,2857,5,8,B,87419.696861879
14236,0,1,19.92742262,15.54153626,0,2,5,1962,0.319809354,B,B,25,4756,16,2857,5,8,B,102395.788856394
16130,119,1,32.50970691,21.43193811,5,5,5,1962,0.000995363,B,B,42,7651,1,,1,5,B,116532.901215546
13938,29,2,44.24274143,30.60317077,5,2,5,1962,0.069660344,B,B,31,6119,4,,1,2,B,117266.442171111
12433,52,1,31.87343112,22.36312718,6,2,4,1962,0.371148999,B,B,34,7065,1,750,2,5,B,130365.026869043
15630,21,1,33.73003375,20.07670098,5,6,5,1962,0.034331497,B,B,25,5487,3,,0,4,B,134445.482100763
4137,75,1,31.60726209,22.81232840,5,3,5,1962,0.122090347,B,B,29,6566,7,1894,4,0,B,134903.172958622
11125,8,1,36.28802927,25.89188440,5,2,5,1962,0.437885240,B,B,23,5735,3,1084,0,5,B,136477.724311453
3886,119,1,32.76936134,18.66822063,5,3,5,1962,0.000995363,B,B,42,7651,1,,1,5,B,140942.609509777
2315,119,1,34.28163909,22.40613728,5,4,5,1962,0.000995363,B,B,42,7651,1,,1,5,B,145003.004424544
8631,109,2,43.12493776,29.55688596,5,2,5,1962,0.136330300,B,B,30,6141,10,262,3,6,B,145128.300586439
16533,8,1,37.57670717,20.42483535,6,7,3,1962,0.437885240,B,B,23,5735,3,1084,0,5,B,145747.624652290
1776,17,3,69.14913882,49.87938845,6,4,9,1962,0.093442564,B,B,23,4635,5,3300,2,4,B,145985.624396323
14695,91,1,33.10413033,21.64684670,5,3,5,1962,0.333891544,B,B,30,6564,1,,0,0,B,148274.098105183
3027,147,1,30.67097040,17.25521773,6,1,5,1962,0.319809354,B,B,25,4756,16,2857,5,8,B,148828.864643438
1826,148,1,31.17250356,21.84037181,5,5,5,1962,0.313924552,B,B,22,4625,11,3855,2,10,B,149017.218628742
13368,57,1,34.82626233,20.50738633,5,6,5,1962,0.133215333,B,B,49,11395,3,1406,3,4,A,149194.221638973
