Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2
15856,74,2.0,69.26318347353308,36.15881045508672,1.0,6,1.0,1977,0.075778755,1,1,6,1437,3,0,2,1
7633,53,1.0,40.675626539628134,36.15881045508672,1.0,21,21.0,1977,0.049637257,1,1,34,7759,0,1,3,1
13329,23,2.0,68.09953793820145,64.84302502745639,1.0,2,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1
3310,6,3.0,84.62535038041838,36.15881045508672,1.0,6,17.0,1977,0.243204519,1,1,5,1564,0,0,0,1
5214,27,1.0,37.55519665650439,36.15881045508672,1.0,5,1.0,1977,0.211401214,1,1,9,1892,0,0,1,1
16688,1,1.0,44.87876658563359,36.15881045508672,1.0,1,9.0,1977,0.007122317,1,1,1,264,0,0,1,1
8968,27,2.0,69.84923946355873,36.15881045508672,0.0,3,0.0,1977,0.011654127,1,1,4,915,0,0,0,1
11160,58,1.0,48.61066139896364,48.752501701579064,1.0,4,3.0,1977,0.43788524,1,1,23,5735,3,0,5,1
2982,6,2.0,63.460684405281384,36.15881045508672,0.0,13,0.0,1977,0.243204519,1,1,5,1564,0,0,0,1
2449,1,1.0,66.42658474782806,36.15881045508672,0.0,14,0.0,1977,0.007122317,1,1,1,264,0,0,1,1
10704,52,2.0,51.92149100340754,36.15881045508672,1.0,6,17.0,1977,0.371148999,1,1,34,7065,1,2,5,1
5428,27,2.0,62.326043796391524,36.15881045508672,61.0,12,17.0,1977,0.072157581,1,1,2,629,1,0,0,0
11513,1,1.0,37.48405677665481,40.59303648295684,0.0,4,17.0,1977,0.007122317,1,1,1,264,0,0,1,1
12309,45,1.0,42.89956912819317,36.15881045508672,0.0,25,0.0,1977,0.195781053,1,1,23,5212,6,3,2,1
10614,27,1.0,44.25499476053788,36.15881045508672,1.0,3,1.0,1977,0.211401214,1,1,9,1892,0,0,1,1
3061,30,2.0,66.20329032176707,36.15881045508672,1.0,22,22.0,1977,7.81528e-05,1,1,22,6398,141,3,23,1
9011,53,1.0,1.37854264044678,1.3535730763724765,1.0,1,1.0,1977,0.049637257,1,1,34,7759,0,1,3,1
5403,34,4.0,99.11258109881224,36.15881045508672,1.0,22,1.0,1977,0.069753361,1,1,53,13670,4,1,11,1
6268,1,1.0,45.885992355293865,36.15881045508672,1.0,11,20.0,1977,0.007122317,1,1,1,264,0,0,1,1
6553,34,5.0,122.37527320536724,0.3334899423857579,0.0,9,0.0,1977,0.069753361,1,1,53,13670,4,1,11,1
