Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
8800,23,1,29.7060311661393,,0,5,12,1977,0.034656082,B,B,0,168,0,,0,0,B,60502.5834995787
1579,23,1,27.3311083301989,,1,10,12,1977,0.034656082,B,B,0,168,0,,0,0,B,60825.0320604411
2648,23,1,34.6708298225583,,0,4,0,1977,0.005767451,B,B,1,388,0,,0,0,B,60828.2606856115
9042,23,1,32.2332900520588,,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,62225.023068922
7292,23,1,35.5855384911899,30.7386317570918,1,6,4,1977,0.034656082,B,B,0,168,0,,0,0,B,62980.7790238438
14999,23,1,34.0239351945074,,0,6,4,1977,0.034656082,B,B,0,168,0,,0,0,B,63587.764060559
14221,23,1,34.4476149700224,,0,2,0,1977,0.005767451,B,B,1,388,0,,0,0,B,63676.9777337699
13498,23,1,31.434943642888,31.1218363798149,1,11,1,1977,0.034656082,B,B,0,168,0,,0,0,B,65033.8952994019
9412,23,1,33.3462580951163,,1,5,1,1977,0.034656082,B,B,0,168,0,,0,0,B,65334.2925689787
1177,23,1,30.8065845978272,27.7762112575617,0,2,0,1977,0.034656082,B,B,0,168,0,,0,0,B,65379.9573447559
3662,23,1,36.232302882965,,1,4,15,1977,0.005767451,B,B,1,388,0,,0,0,B,65410.0747687366
3902,23,1,27.4422384789353,,1,4,4,1977,0.034656082,B,B,0,168,0,,0,0,B,65547.0718460729
2407,23,2,33.7684601455755,,1,2,4,1977,0.034656082,B,B,0,168,0,,0,0,B,65637.8299455734
5660,23,1,31.7532178343466,30.928076795745,1,7,12,1977,0.034656082,B,B,0,168,0,,0,0,B,65932.034699573
3095,23,1,34.9132836564501,,1,3,15,1977,0.005767451,B,B,1,388,0,,0,0,B,66379.8022583427
809,14,2,42.722391998688,24.3596157235725,7,3,12,1977,0.042031587,B,B,37,6856,84,1940,2,5,B,66421.736690874
15611,23,1,33.8633239632085,29.9932970028615,0,5,4,1977,0.034656082,B,B,0,168,0,,0,0,B,66883.2803183758
10506,23,1,32.9980765705859,27.5144883337317,1,5,17,1977,0.034656082,B,B,0,168,0,,0,0,B,66921.3083410049
2381,23,1,30.6115003160581,,1,12,12,1977,0.034656082,B,B,0,168,0,,0,0,B,66927.0041240925
8114,23,1,34.7068542809492,31.6527005561801,1,6,4,1977,0.034656082,B,B,0,168,0,,0,0,B,67344.984701725
552,23,1,30.9780699317156,,1,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,67514.1439985346
2041,23,1,31.3069665252459,28.0325371121364,10,6,20,1977,0.034656082,B,B,0,168,0,,0,0,B,67790.9849207969
9947,23,1,29.8790356056966,31.2643867077417,1,12,0,1977,0.034656082,B,B,0,168,0,,0,0,B,67898.2912656585
13342,23,1,31.8194469140566,,1,5,4,1977,0.034656082,B,B,0,168,0,,0,0,B,68148.7374673832
12115,23,1,31.2302086063255,,1,8,14,1977,0.034656082,B,B,0,168,0,,0,0,B,68161.2228442354
6531,23,1,38.5300196528564,34.0894655098386,0,2,5,1977,0.005767451,B,B,1,388,0,,0,0,B,68177.1785776882
4935,23,1,28.8598848873727,,1,12,11,1977,0.034656082,B,B,0,168,0,,0,0,B,68375.6155084501
1041,23,1,31.4943388727581,,1,4,1,1977,0.034656082,B,B,0,168,0,,0,0,B,68382.9440094127
15869,30,1,31.4150622435058,,0,7,12,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,68663.0113881871
374,23,1,41.5749147033043,,1,2,1,1977,0.014072961,B,B,2,475,0,,0,0,B,69281.0033428828
14153,23,1,35.4004798736341,37.3337526255734,1,4,17,1977,0.034656082,B,B,0,168,0,,0,0,B,69485.8452557269
1902,23,1,39.9975315453453,,0,2,0,1977,0.034656082,B,B,0,168,0,,0,0,B,71183.8973426171
8869,23,1,32.173228792168,,1,4,16,1977,0.034656082,B,B,0,168,0,,0,0,B,71277.6557358711
5931,23,1,43.0333977353607,,1,3,4,1977,0.014072961,B,B,2,475,0,,0,0,B,72659.9715753335
14079,23,1,42.6003983970293,,1,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,72675.7513839575
5497,58,1,37.6864256660242,4.97776901566802,1,2,17,1977,0.43788524,B,B,23,5735,3,1084,0,5,B,72950.8708710599
3977,23,2,55.1830734437375,53.5610869885122,1,4,3,1977,0.005767451,B,B,1,388,0,,0,0,B,73281.2077358412
9715,23,1,37.7623818031309,,0,4,0,1977,0.034656082,B,B,0,168,0,,0,0,B,73320.9527973701
12363,23,1,29.6741079634315,32.608867768804,1,1,4,1977,0.034656082,B,B,0,168,0,,0,0,B,73744.7298609817
12355,23,1,35.9560443511405,,0,4,0,1977,0.005767451,B,B,1,388,0,,0,0,B,73940.5956653482
5612,23,1,29.5671014173234,,1,6,4,1977,0.034656082,B,B,0,168,0,,0,0,B,74012.2189905783
13789,23,1,29.2895441575246,30.4921557436458,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,74202.1549324078
12815,23,1,35.084763478454,,1,9,1,1977,0.034656082,B,B,0,168,0,,0,0,B,74244.836973721
5578,30,2,54.2628492239839,52.1923037805398,1,4,2,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,74355.5643156177
6129,23,1,39.8710127155535,,10,2,17,1977,0.034656082,B,B,0,168,0,,0,0,B,74751.3709404596
4956,27,1,44.8815344482277,,1,3,1,1977,0.01131981,B,B,2,568,1,,0,0,B,74910.8315392351
8480,23,1,38.4186392384733,,1,11,12,1977,0.034656082,B,B,0,168,0,,0,0,B,74987.3527602383
4925,23,1,38.1010406816779,,1,11,17,1977,0.034656082,B,B,0,168,0,,0,0,B,75108.6097734511
2234,23,1,32.2531106845719,,1,6,12,1977,0.034656082,B,B,0,168,0,,0,0,B,75185.1992068488
8569,23,2,53.2082822474368,,0,1,0,1977,0.005767451,B,B,1,388,0,,0,0,B,75312.3156921354
10941,23,1,31.7022366808513,,1,14,12,1977,0.034656082,B,B,0,168,0,,0,0,B,76228.9183144135
9156,23,1,39.4716655730514,,1,3,1,1977,0.034656082,B,B,0,168,0,,0,0,B,76335.0781494971
3217,76,1,41.7528551022054,,1,4,1,1977,0.000000000,B,B,7,1660,39,1786,1,5,B,76470.7167338992
9456,27,1,30.493932060451,,1,5,22,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,77007.2874615843
10407,27,1,34.6692812274077,34.5374835987851,0,7,0,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,77512.9096901969
359,23,2,54.0071722540183,53.8397603808271,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,77794.927912083
4386,27,1,29.563428259383,,1,12,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,78119.88421182
6054,23,1,40.7179904452559,,1,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,78606.7771181713
16077,27,1,27.8290218470927,,0,7,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,79372.4541171927
7056,23,2,57.8648862559815,,7,4,3,1977,0.005767451,B,B,1,388,0,,0,0,B,79933.4546957201
3849,23,1,44.6690378509823,,1,5,17,1977,0.014072961,B,B,2,475,0,,0,0,B,80356.3188414352
15695,23,1,34.2055465888426,,1,4,12,1977,0.034656082,B,B,0,168,0,,0,0,B,80497.8618343508
1236,30,1,27.2648692393715,30.1915265233317,1,6,1,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,80575.6341653717
9962,23,2,58.5041678417364,,1,4,3,1977,0.005767451,B,B,1,388,0,,0,0,B,81788.068490758
5510,23,1,32.9440802007115,,1,4,17,1977,0.034656082,B,B,0,168,0,,0,0,B,82088.1469388034
3306,23,2,53.1983165149548,,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,83099.5513694638
10236,23,2,58.2594198653191,,1,3,17,1977,0.005767451,B,B,1,388,0,,0,0,B,83192.8445363244
12651,30,1,44.4867427241912,,10,2,16,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,83387.1231795735
16703,23,1,39.5593255054733,,1,6,12,1977,0.034656082,B,B,0,168,0,,0,0,B,83407.9754905827
16586,27,1,40.7968584430335,37.4802381864548,0,2,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,83481.8180571543
8474,30,1,49.2778239712083,,1,1,16,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,83754.899796705
14937,23,1,31.5136746376733,,1,4,1,1977,0.034656082,B,B,0,168,0,,0,0,B,84043.6995561631
12818,27,1,47.0299348262372,47.0157217329664,10,4,3,1977,0.01405792,B,B,1,290,0,,0,0,B,85525.7942110828
3874,23,1,41.9383890866236,,1,2,1,1977,0.014072961,B,B,2,475,0,,0,0,B,85994.2970631441
6545,30,1,41.0338391335584,,1,3,17,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,86144.2530402322
14167,23,1,46.6137974551529,,1,1,4,1977,0.014072961,B,B,2,475,0,,0,0,B,86152.6257213904
10657,23,1,42.7272184312604,,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,86161.4418506628
10188,23,2,51.5433646222638,,0,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,86196.5816975075
16457,23,2,59.1810714150162,,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,86633.3219229487
1867,30,1,54.6262058991932,4.65139655065879,1,4,3,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,87456.5200376103
9921,27,1,45.3919862881506,19.1572658940156,8,3,9,1977,0.01405792,B,B,1,290,0,,0,0,B,87573.1240815903
8561,27,1,37.1157690120948,,1,2,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,87854.9890172107
9020,23,2,56.5498664713026,54.619898357042,1,1,3,1977,0.005767451,B,B,1,388,0,,0,0,B,87967.9501422848
6903,23,1,36.3683051598269,,1,1,1,1977,0.034656082,B,B,0,168,0,,0,0,B,88289.9356990565
12135,23,2,52.5401074445544,51.1974560093547,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,88328.2596862016
9716,23,2,51.876932593043,53.9837303778133,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,88371.6339276361
1821,23,2,49.929488622133,,1,9,12,1977,0.034656082,B,B,0,168,0,,0,0,B,88464.4253950588
12863,27,1,36.1814450979994,38.0751908799584,0,2,12,1977,0.011654127,B,B,4,915,0,,0,0,B,88623.9600464228
5050,27,1,42.8792410823542,22.5374826914063,7,13,22,1977,0.041116354,B,B,53,14892,4,,1,4,B,88899.1703214567
10535,27,1,40.2504740867148,41.4160994903091,0,1,0,1977,0.011654127,B,B,4,915,0,,0,0,B,89068.1049586803
1363,27,1,41.473233864787,,10,2,17,1977,0.011654127,B,B,4,915,0,,0,0,B,89104.3552733427
8830,121,2,45.2509532799915,23.1717465134123,6,10,14,1977,0.212515361,B,B,19,3293,16,628,3,7,B,89659.1877851281
16059,11,2,44.9525456089996,29.3636455683407,6,4,9,1977,0.000169675999999999,B,B,36,5992,0,,1,1,B,89744.4596079191
10653,23,1,42.930267938943,,10,5,20,1977,0.034656082,B,B,0,168,0,,0,0,B,89770.9519718933
14112,23,2,53.0431716004043,4.85550690619998,1,4,1,1977,0.034656082,B,B,0,168,0,,0,0,B,89801.7328791553
1279,23,1,41.3411356883786,,1,4,4,1977,0.034656082,B,B,0,168,0,,0,0,B,90020.3049931867
2576,23,2,56.1701098393553,,0,4,0,1977,0.005767451,B,B,1,388,0,,0,0,B,90219.5013842697
3203,23,2,56.2187016318717,,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,90303.6656829979
7997,23,2,56.4389377071965,,1,3,17,1977,0.005767451,B,B,1,388,0,,0,0,B,90349.0546523964
2647,23,1,41.1250244172713,,1,1,4,1977,0.014072961,B,B,2,475,0,,0,0,B,90511.0083490768
11905,23,2,53.3551615624853,,1,1,3,1977,0.005767451,B,B,1,388,0,,0,0,B,90512.9476527257
7501,23,2,51.401212372172,,1,5,12,1977,0.034656082,B,B,0,168,0,,0,0,B,90834.3510076712
10177,27,1,41.6254930816245,39.0705723451038,10,17,17,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,91263.353943726
7801,27,1,39.0108358519418,,10,12,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,91268.3777359145
7401,27,1,39.7280691099604,,0,5,0,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,91331.0369255228
1637,6,1,44.7300023440379,,10,24,25,1977,0.243204518999999,B,B,5,1564,0,540,0,0,B,91443.0309334726
1386,23,2,57.3095120158551,,1,3,2,1977,0.005767451,B,B,1,388,0,,0,0,B,91461.387387881
3510,23,1,41.1606692430437,,1,3,1,1977,0.014072961,B,B,2,475,0,,0,0,B,91462.3122482007
11156,20,1,41.4851646572827,18.5783696002644,8,12,16,1977,0.019508796,B,B,37,7687,11,176,5,5,B,91735.7816869654
12183,23,2,54.3649126558317,,0,1,0,1977,0.034656082,B,B,0,168,0,,0,0,B,91783.6432326192
5429,23,2,56.5587776032903,57.5572269789833,1,3,4,1977,0.005767451,B,B,1,388,0,,0,0,B,91929.6957476546
9393,23,1,37.365229228308,,1,3,3,1977,0.034656082,B,B,0,168,0,,0,0,B,91945.0457015371
15479,23,1,38.9242397107923,,1,8,12,1977,0.034656082,B,B,0,168,0,,0,0,B,92116.9420636446
4144,23,1,42.7058362574536,,0,5,4,1977,0.034656082,B,B,0,168,0,,0,0,B,92290.96847556
9724,23,1,45.3958800258202,,0,5,0,1977,0.014072961,B,B,2,475,0,,0,0,B,92319.9206710792
3030,30,1,37.9621215647399,,10,10,15,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,92607.5446108221
4526,1,1,43.7721578587801,,11,9,17,1977,0.014580716,B,B,3,760,1,,0,0,B,92610.536384156
8175,23,1,35.8686652743889,,0,5,4,1977,0.034656082,B,B,0,168,0,,0,0,B,92855.4103225194
8782,27,1,40.3003486627758,,1,11,22,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,93168.931281918
7679,23,2,55.5217974070317,,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,93217.7529240404
14763,23,2,52.0353156352596,,1,6,12,1977,0.034656082,B,B,0,168,0,,0,0,B,93237.8612527569
10910,27,1,40.8092693372618,,11,19,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,93428.2652052829
14696,23,2,57.6571757971085,,1,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,93493.6428019477
15574,23,2,57.4264727380954,32.4109627189559,10,4,1,1977,0.034656082,B,B,0,168,0,,0,0,B,93674.4551861775
769,23,2,54.023920396542,54.8346730087414,10,3,3,1977,0.005767451,B,B,1,388,0,,0,0,B,93991.0235783019
883,23,1,46.3558042570401,,1,3,3,1977,0.014072961,B,B,2,475,0,,0,0,B,94607.9760502224
8389,27,1,41.2801743147208,,1,9,19,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,94690.6782789008
10887,187,1,44.1541213712988,,1,5,4,1977,0.041116354,B,B,53,14892,4,,1,4,B,94691.9078949868
10268,27,1,36.1123926792701,1.85541543953889,1,9,16,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,94881.6918002816
948,23,2,57.3638378781199,55.6042690221976,1,3,15,1977,0.005767451,B,B,1,388,0,,0,0,B,95227.6290544236
10788,30,1,41.7012035226534,,1,3,17,1977,0.0000781528,B,B,22,6398,141,1046,3,23,B,95473.4369864485
16159,27,1,38.9683382074381,,1,10,1,1977,0.211401213999999,B,B,9,1892,0,,0,1,B,95529.5694050049
2404,23,2,55.9276590465282,,0,3,4,1977,0.034656082,B,B,0,168,0,,0,0,B,95744.1679728096
5211,27,1,37.3573371701682,37.6441080275171,0,10,12,1977,0.011654127,B,B,4,915,0,,0,0,B,95911.7267672683
8741,23,1,41.2225069829024,,1,12,20,1977,0.034656082,B,B,0,168,0,,0,0,B,95913.6599628237
7596,23,1,47.0801002474814,46.8079891940054,12,3,9,1977,0.014072961,B,B,2,475,0,,0,0,B,96029.1678773352
